Model,MAE,RMSE,R2
Linear Regression,0.6901640742412329,0.8479620022088769,0.9898628276613721
Ridge Regression,0.6886288711060662,0.8444790678459837,0.9899459318459193
Lasso Regression,0.6879780974284078,0.8436863265125479,0.9899647991801457
Random Forest,1.2470228495529592,1.6954555438918186,0.9594737088623416
XGBoost,1.020880607495768,1.3401408255010374,0.9746799288520546
